Study,Plot,TRT,GT,Wh,Pop,Rep,RXA,SXA,CXA,CSR,CF,CCS,Num,Dens,Perim,Pmdiff,AA,AAP,MXN,MXA,MXP,MXM,MXL,MXW,Lwmax,Lwrat,ECC,JSM,J_max,J_med,CDM,CD24med,AvgCDiam,MaxCD,HYP,OUT,CD35avg,INN
PA16,401,LN,11,5,Hybrid,F2,6.008855856,1.82081982,4.188036036,2.300082628,19.5,2050.751478,NA,NA,8.0445702,9.820610451,0.089882883,2.146182175,23,0.179436025,9.854683192,8742.991533,106.8336712,101.8506757,123.9557432,1.089494595,0.396911743,6.36E-08,5.53E-09,3.17E-09,32.2670045,17.47252252,75.57010135,73.44031532,27.75191441,17.47252252,19.95848348,36.18361486
PA16,422,LN,1,5,Hybrid,F2,7.942998374,2.789105691,5.153892683,1.847865679,16.5,2275.451453,NA,NA,10.8235128,25.64599222,0.006152846,0.119382492,21,0.190711268,6.837721093,9174.999156,109.5391057,110.1888618,130.573252,1.046463862,0.294669684,7.36E-08,6.19E-09,3.46E-09,32.53837398,20.22772358,91.38081301,63.02186992,27.63703252,15.6649187,25.97830623,39.42365854
PA16,428,LN,37,5,Hybrid,F2,6.607612613,2.285018018,4.322594595,1.891711383,17,2104.536177,NA,NA,8.289924,11.09490795,0.026036036,0.602324263,27,0.164161376,7.184248633,6478.922269,97.78513514,86.32331081,115.7666667,1.116307951,0.444436906,4.51E-08,3.98E-09,1.61E-09,35.53457207,23.21503378,106.1554054,64.97466216,27.76644144,27.14420045,26.746997,35.71165541
PA16,430,LN,12,5,Hybrid,F2,6.043234234,1.473846284,4.56938795,3.100315142,21,1722.761824,NA,NA,8.1659531,7.204467818,0.300932432,6.585836784,19,0.166286069,11.28245669,8850.020372,112.7226351,105.5439189,126.6968468,1.084449711,0.386888106,6.25E-08,5.37E-09,3.18E-09,37.11475225,22.80101351,97.26137387,59.39966216,23.71582207,18.27454955,26.51353228,34.86373874
PA16,444,LN,36,5,Hybrid,F2,5.799648649,2.112504505,3.687144144,1.745389956,18,1364.582559,NA,NA,7.9132398,13.98074766,0.059099099,1.602842113,23,0.143618686,6.798503201,6662.425319,91.68074324,93.3259009,134.0988739,1.080569564,0.378899381,4.24E-08,6.36E-09,1.84E-09,30.82984234,20.2125,85.35692568,48.72364865,23.03738739,18.08688063,22.63190691,37.80016892
PA16,101,HN,24,4,Hybrid,F1,8.733470889,2.865088099,5.86838279,2.048238165,19,2207.470575,5625.204878,958.5613412,10.3566822,17.08301548,0,0,25,0.297402599,10.38022529,12619.25935,134.643,123.82,159.0281,1.10787656,0.430422294,0.000000161,1.14E-08,6.59E-09,36.4456,19.0524,76.63995,68.0267,24.60115,14.3677,20.97831667,27.89385
PA16,102,HN,4,4,Hybrid,F1,5.363942373,1.512413071,3.851529303,2.546612019,18,2398.048588,4565.737398,1185.434937,8.008071,13.12523952,0,0,22,0.176942163,11.69932784,8379.193007,114.8751,91.46865,131.5406,1.191100312,0.542942188,6.14E-08,6.03E-09,2.58E-09,32.773,21.31935,99.69955,64.7197,21.36485,21.31935,26.36595,35.835
PA16,103,HN,39,4,Hybrid,F1,5.944474349,1.935983443,4.008490906,2.070519208,20,1186.088388,4957.529157,1236.756992,8.529731,16.7929647,0.339038364,8.458005071,25,0.166949746,8.623511041,6410.65767,98.4647,89.6438,112.9191,1.079663405,0.376996724,0.000000048,3.76E-09,1.70E-09,32.0858,14.44745,58.16915,46.835,20.92375,10.97935,15.9104,27.9181
PA16,104,HN,38,4,Hybrid,F1,4.828325533,1.327653025,3.500672508,2.636737493,16,2020.1533,3157.643011,902.0104006,7.6069626,12.80945488,0.033934495,0.969370746,25,0.227214522,17.11399873,9620.218763,116.3414,104.2569,137.3377,1.122240077,0.453856217,8.77E-08,6.14E-09,3.77E-09,37.5707,22.73715,87.56445,58.9037,33.0533,19.54595,22.8138,29.6544
PA16,105,HN,3,4,Hybrid,F1,3.985220582,1.210870525,2.774350057,2.291202899,15.5,1772.66425,2935.487963,1058.081318,7.0049731,15.70941091,0.001432236,0.051624199,19,0.183302654,15.13808868,9855.235627,123.6426,100.8855,147.9047,1.23149684,0.583629681,7.35E-08,7.14E-09,3.72E-09,34.6893,16.78615,83.5415,50.1305,26.0286,18.11245,21.86241667,29.547
PA16,106,HN,40,4,Hybrid,F1,6.054645609,2.225138563,3.829507046,1.721019585,17.5,1778.37715,5312.82381,1387.338826,8.6483786,19.78756968,0.038023664,0.992912747,23,0.168991549,7.594652854,6966.107286,94.3424,94.8335,132.9071,1.125816049,0.459370844,5.48E-08,5.37E-09,1.98E-09,30.2945,17.31605,72.99915,49.3975,22.48845,16.9394,18.85725,27.71515
PA16,107,HN,41,4,Hybrid,F1,6.955324807,2.324878235,4.630446572,1.991694233,15.5,2008.40715,3194.154564,689.8156611,9.2180192,17.24794978,1.539203847,33.24093742,28,0.359750082,15.47393223,12897.55966,149.4839,112.8903,170.9844,1.295166189,0.635495143,0.000000188,1.12E-08,6.34E-09,42.9624,29.82665,124.04295,60.241,31.6091,23.062,33.86688333,38.9913
PA16,108,HN,33,4,Hybrid,F1,9.554382235,3.505010556,6.049371679,1.725921101,22,1607.021188,6151.652665,1016.907704,10.8197633,19.41720877,0,0,34,0.264829423,7.555738252,8177.189845,108.78095,98.28775,135.2165,1.115507137,0.442952855,9.32E-08,5.61E-09,2.76E-09,35.3846,11.8402,47.5434,58.9378,19.09685,10.51735,12.49408333,34.02135
PA16,109,HN,37,4,Hybrid,F1,4.686806504,1.636178545,3.050627959,1.864483536,15.5,1472.477813,3579.376228,1173.324403,7.536074,17.84114071,0.424125385,13.90288789,25,0.163225872,9.976042801,7248.821737,107.5534,86.2521,121.7821,1.250949252,0.600808562,4.58E-08,3.13E-09,2.07E-09,32.9417,17.87995,89.27445,48.1927,26.28,14.22785,25.21668333,30.8852
