"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOT","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","CLRSKY_SFC_SW_DWN","PS","WS2M","T2MDEW","Wpot","e_t","e_tmin","e_tmax","e_a","e_s","VPD","delta","gama","gd","GDD","ratio","Rns","Rnl","Rn","ET0","Kc","ET","local"
"25",-3.70343,40.47786,2015,6,8,159,"2015-06-08",26.81,24.37,0,32.55,14.48,28.87,30.09,93.75,1.5,3.82,-180.389620624619,3.05083036747463,1.64908578089926,4.90456324056519,0.80301515596202,3.27682451073223,2.47380935477021,0.182592168279278,0.06234375,14.37,249.04,1,22.2299,3.12075814197939e-07,22.2298996879242,8.51451353510452,0.169028421931127,1.43919478634994,"Madrid, Spain"
"26",-3.70343,40.47786,2015,6,9,160,"2015-06-09",34.49,24.23,0.96,32.02,16.72,23.74,-99,93.41,1.89,7.23,-145.803152512662,3.02535963294453,1.9036119994927,4.76015178347121,1.01779149317744,3.33188189148196,2.31409039830451,0.181261652217467,0.06211765,14.23,263.27,1,18.2798,2.89949144573195e-07,18.2797997100509,7.6757595070245,0.181077804508657,1.38990967946845,"Madrid, Spain"
"27",-3.70343,40.47786,2015,6,10,161,"2015-06-10",55.15,21.48,5.7,26.39,16.49,21,-99,93.24,2.52,12.06,-80.7584453185915,2.56128319768639,1.87598187140714,3.43971857819409,1.40812258407446,2.65785022480061,1.24972764072615,0.156735775660792,0.0620046,11.48,274.75,1,16.17,2.51141854173139e-07,16.1699997488581,5.9986893604221,0.191679191391692,1.14982392601565,"Madrid, Spain"
"28",-3.70343,40.47786,2015,6,11,162,"2015-06-11",68.2,18.73,10.99,22.3,14.58,13.96,-99,93.17,2.62,12.66,-51.4523460132126,2.16065107437729,1.65977688101881,2.69266455303664,1.46478290709118,2.17622071702772,0.711437809936542,0.135074969935492,0.06195805,8.73,283.48,1,10.7492,2.43852867691186e-07,10.7491997561471,3.76123957747491,0.200275323558845,0.753283473361122,"Madrid, Spain"
"29",-3.70343,40.47786,2015,6,12,163,"2015-06-12",55.96,17.72,3.91,23.65,12.75,19.71,-99,93.17,2.51,8.73,-77.7749878554642,2.02793059722312,1.47345233656828,2.92180364361553,1.12728710361772,2.1976279900919,1.07034088647419,0.127784023671899,0.06195805,7.72,291.2,1,15.1767,2.73360349170144e-07,15.1766997266397,5.38524280141647,0.208264849463755,1.12155678136277,"Madrid, Spain"
"30",-3.70343,40.47786,2015,6,13,164,"2015-06-13",47.55,16.57,0,21.72,12.05,15.72,-99,93.19,2.54,5.35,-99.1994411023783,1.88555223074997,1.4071947907078,2.59914359289532,0.893853857319522,2.00316919180156,1.10931533448204,0.119891323678867,0.06197135,6.57,297.77,1,12.1044,2.95280933270612e-07,12.1043997047191,4.82114137728998,0.215352383002963,1.03824428439359,"Madrid, Spain"
"31",-3.70343,40.47786,2015,6,14,165,"2015-06-14",53.39,15.82,0.35,21.85,9.46,21.42,-99,93.34,2.63,6.34,-83.5245949424551,1.7974864895901,1.18422862878504,2.61985472301223,0.957350437369853,1.90204167589863,0.944691238528782,0.114970035435955,0.0620711,5.82,303.59,1,16.4934,2.87485656629831e-07,16.4933997125143,5.39349827718822,0.221852709223295,1.19656220498538,"Madrid, Spain"
"32",-3.70343,40.47786,2015,6,15,166,"2015-06-15",65.24,15.48,6.36,20.07,11.83,16.1,-99,93.66,1.12,8.93,-56.7785404852062,1.75876561098584,1.38691872068683,2.34843272335643,1.14264270562287,1.86767572202163,0.725033016398757,0.112796208164107,0.0622839,5.48,309.07,1,12.397,2.69819135315966e-07,12.3969997301809,3.66357197603078,0.228163979381138,0.8358951608004,"Madrid, Spain"
"33",-3.70343,40.47786,2015,6,16,167,"2015-06-16",51.57,18.35,0.28,25.96,10.22,23.95,-99,94.08,2.55,8.14,-88.9121392227455,2.10985086981363,1.24618335113179,3.35349972369563,1.08304076266386,2.29984153741371,1.21680077474986,0.132291554341413,0.0625632,8.35,317.42,1,18.4415,2.77464523748859e-07,18.4414997225355,6.40328946857913,0.238135971690416,1.5248535596151,"Madrid, Spain"
"34",-3.70343,40.47786,2015,6,17,168,"2015-06-17",43.56,19.7,0,27.47,11.26,30.59,30.59,94.12,3.17,6.8,-112.092088998813,2.29520837106577,1.33557433626887,3.66483799957194,0.988182585722631,2.50020616792041,1.51202358219777,0.142405848758158,0.0625898,9.7,327.12,1,23.5543,2.88039979937198e-07,23.55429971196,8.40868841328824,0.250257382771951,2.10433635485434,"Madrid, Spain"
"35",-3.70343,40.47786,2015,6,18,169,"2015-06-18",42.28,21.24,0,29.95,11.58,30.06,30.54,94.03,2.53,7.85,-116.725295596297,2.52390553644656,1.36418963961052,4.23091158642325,1.06185843867841,2.79755061301689,1.73569217433848,0.154735357064411,0.06252995,11.24,338.36,1,23.1462,2.82076326938927e-07,23.1461997179237,8.48967193042153,0.26502030432138,2.24993543858899,"Madrid, Spain"
"36",-3.70343,40.47786,2015,6,19,170,"2015-06-19",38.07,23.04,0,32.04,13.14,30.71,30.71,93.86,2.93,7.6,-131.74747450192,2.81624186479029,1.5115426161329,4.76553345013745,1.0438914352743,3.13853803313518,2.09464659786087,0.170278612706752,0.0624169,13.04,351.4,1,23.6467,2.85605119752459e-07,23.6466997143949,9.52067807928539,0.283099562747195,2.6952998013025,"Madrid, Spain"
"37",-3.70343,40.47786,2015,6,20,171,"2015-06-20",32.45,23.55,0,32.84,13.57,30.91,30.91,93.85,2.34,5.61,-153.801670925723,2.90426539377092,1.55453894174795,4.98517940493096,0.910159414350401,3.26985917333946,2.35969975898906,0.174914805674821,0.06241025,13.55,364.95,1,23.8007,2.9996870993116e-07,23.8006997000313,9.56308627037136,0.302947098664013,2.89710923988266,"Madrid, Spain"
"38",-3.70343,40.47786,2015,6,21,172,"2015-06-21",34.78,25.51,0,34.74,14.62,29.7,30.44,93.75,1.74,8.64,-145.27862743126,3.26529355955192,1.66407031260994,5.54238286406501,1.12043653025487,3.60322658833748,2.4827900580826,0.19373603771606,0.06234375,15.51,380.46,1,22.869,2.80100589960063e-07,22.8689997198994,8.94204461740045,0.326951594835275,2.92361574874727,"Madrid, Spain"
"39",-3.70343,40.47786,2015,6,22,173,"2015-06-22",35.37,26.27,0.85,33.91,19.59,28.41,29.94,93.54,2.29,9.71,-143.328318839173,3.41546538138581,2.27958974994262,5.29266274303626,1.20430251576815,3.78612624648944,2.58182373072129,0.201479047324779,0.0622041,16.27,396.73,1,21.8757,2.74039092929058e-07,21.8756997259609,9.30512487089914,0.353542350838867,3.28975572170689,"Madrid, Spain"
"40",-3.70343,40.47786,2015,6,23,174,"2015-06-23",42.47,24.04,2.18,31.16,17.47,17.92,-99,93.37,2.16,10.34,-117.221181748053,2.99108902581208,1.99620272689558,4.53367742312939,1.25622177491321,3.26494007501249,2.00871830009927,0.179469031831423,0.06209105,14.04,410.77,1,13.7984,2.67034842073767e-07,13.7983997329652,6.3610128638446,0.377582978944971,2.40181018623772,"Madrid, Spain"
"41",-3.70343,40.47786,2015,6,24,175,"2015-06-24",42.26,22.99,2.23,30.5,13.79,28.1,-99,93.72,1.4,9.36,-117.483351639274,2.80773880585953,1.57694925770901,4.36627932050147,1.17628185438316,2.97161428910524,1.79533243472208,0.169829719261366,0.0623238,12.99,423.76,1,21.637,2.72434424492801e-07,21.6369997275656,7.54546863326812,0.400668438333035,3.02323113378244,"Madrid, Spain"
"42",-3.70343,40.47786,2015,6,25,176,"2015-06-25",39.5,24.95,0,32.7,15.47,28.12,-99,94.04,1.26,10.11,-127.533811203173,3.1583554743603,1.75763791889464,4.94611877542196,1.2370434888443,3.3518783471583,2.114834858314,0.188192351463563,0.0625366,14.95,438.71,1,21.6524,2.68580717117955e-07,21.6523997314193,7.80444571695272,0.428160544462031,3.34155572739484,"Madrid, Spain"
"43",-3.70343,40.47786,2015,6,26,177,"2015-06-26",28.66,27.18,0,34.6,18.57,29.65,-99,94.07,1.24,7.2,-172.86231070903,3.60316414550277,2.13913253390023,5.49955864943483,1.01570069227793,3.81934559166753,2.8036448993896,0.211091297268934,0.06255655,17.18,455.89,1,22.8305,2.92321021438117e-07,22.830499707679,8.72713067054881,0.460848269747183,4.02188306937999,"Madrid, Spain"
"44",-3.70343,40.47786,2015,6,27,178,"2015-06-27",25.2,28.4,0,37.2,18.13,30.43,30.43,93.95,1.63,6.36,-191.433304256981,3.86886371652877,2.08092062275474,6.34349320173986,0.958673127223618,4.2122069122473,3.25353378502368,0.224580620231047,0.06247675,18.4,474.29,1,23.4311,2.99300854379915e-07,23.4310997006991,9.74981551581303,0.496972049065971,4.8453857949088,"Madrid, Spain"
"45",-3.70343,40.47786,2015,6,28,179,"2015-06-28",23.03,29.99,0,38.95,19.22,30.44,30.44,93.86,1.64,6.27,-205.014463848118,4.24063193865381,2.22773446669285,6.97272527846564,0.952733676503737,4.60022987257924,3.64749619607551,0.243241185848855,0.0624169,19.99,494.28,1,23.4388,3.01343897461422e-07,23.4387996986561,10.0897765852169,0.53726616041746,5.42089552540948,"Madrid, Spain"
"46",-3.70343,40.47786,2015,6,29,180,"2015-06-29",25.18,30.62,0,39.81,19.97,29.59,30.19,93.79,1.79,7.95,-192.953012452827,4.3963093906328,2.33394240826773,7.30125327275284,1.06912111631742,4.81759784051029,3.74847672419286,0.250986252046516,0.06237035,20.62,514.9,1,22.7843,2.90101673215161e-07,22.7842997098983,10.1722634826364,0.579653706785643,5.89639023411041,"Madrid, Spain"
"47",-3.70343,40.47786,2015,6,30,181,"2015-06-30",21.07,29.91,0,39.22,20.81,29.81,30.18,93.56,2.92,5.22,-217.375976727764,4.22121061495412,2.45812803495137,7.07446177581087,0.885798075755968,4.76629490538112,3.88049682962515,0.242272188033391,0.0622174,19.91,534.81,1,22.9537,3.09536564568153e-07,22.9536996904634,11.9138444686378,0.621041777064128,7.39899514046847,"Madrid, Spain"
"48",-3.70343,40.47786,2015,7,1,182,"2015-07-01",21.25,28.5,0,37.27,18.77,30.24,30.77,93.48,2.53,4.08,-215.183258018338,3.89137953118522,2.16606021415493,6.36768387369415,0.817851747309115,4.26687204392454,3.44902029661543,0.225717686867152,0.0621642,18.5,553.31,1,23.2848,3.15111081188292e-07,23.2847996848889,11.025469422137,0.659608883774163,7.27249757862197,"Madrid, Spain"
"49",-3.70343,40.47786,2015,7,2,183,"2015-07-02",24.94,27.31,0,34.4,19.41,29.35,30.55,93.81,1.91,5.49,-192.176895928662,3.63069834756251,2.2542324762296,5.43887913792428,0.902601479494117,3.84655580707694,2.94395432758282,0.212495440588455,0.06238365,17.31,570.62,1,22.5995,3.04531269229991e-07,22.5994996954687,9.54557652087914,0.695546278193126,6.63939022230518,"Madrid, Spain"
"50",-3.70343,40.47786,2015,7,3,184,"2015-07-03",29.04,28.64,0,37.96,19.34,29.8,30.13,93.88,3.18,8.67,-171.871371142104,3.92309322081994,2.24443815152276,6.61044230087365,1.12271597293701,4.42744022619821,3.3047242532612,0.227317700005096,0.0624302,18.64,589.26,1,22.946,2.83611185753796e-07,22.9459997163888,11.4365581553593,0.733828051487613,8.39246718687206,"Madrid, Spain"
"51",-3.70343,40.47786,2015,7,4,185,"2015-07-04",26.87,29.28,0,38.21,19.95,29.27,30.02,93.92,2.51,8.16,-183.053720860091,4.07095157634387,2.3310537459218,6.70035417582464,1.08451522696148,4.51570396087322,3.43118873391174,0.234753871531109,0.0624568,19.28,608.54,1,22.5379,2.87787425555394e-07,22.5378997122126,10.7277170156185,0.772694836620543,8.28925154669479,"Madrid, Spain"
"52",-3.70343,40.47786,2015,7,5,186,"2015-07-05",23.71,30.04,0,38.39,21.44,26.02,30.03,93.79,1.92,6.97,-200.984758161232,4.25280968260075,2.55502020559979,6.76574436286435,0.999796482348786,4.66038228423207,3.66058580188328,0.243848458587928,0.06237035,20.04,628.58,1,20.0354,2.97216515651703e-07,20.0353997027835,9.4980846212541,0.812012877419149,7.7125670232751,"Madrid, Spain"
"53",-3.70343,40.47786,2015,7,6,187,"2015-07-06",20.1,31.85,0,40.54,22.01,29.73,30.21,93.77,2.67,6.01,-225.387506462826,4.71462033758125,2.64554313936041,7.59053988032237,0.935756994342218,5.11804150984139,4.18228451549917,0.266704234474932,0.06235705,21.85,650.43,1,22.8921,3.05352815552848e-07,22.8920996946472,11.7892393607394,0.853293512981361,10.0596814695035,"Madrid, Spain"
"54",-3.70343,40.47786,2015,7,7,188,"2015-07-07",17.13,31.07,0,39.42,22.69,29.93,30.41,93.72,2.93,3.14,-247.214547720239,4.51052702521202,2.75718954156172,7.15064764766732,0.765328579978635,4.95391859461452,4.18859001463588,0.2566441155289,0.0623238,21.07,671.5,1,23.0461,3.24451010367157e-07,23.046099675549,12.2740355848792,0.891229078531242,10.9389774241716,"Madrid, Spain"
"55",-3.70343,40.47786,2015,7,8,189,"2015-07-08",18.41,29.9,0,39.09,20.07,30.32,30.52,93.6,2.71,2.89,-236.205832805118,4.21878839653034,2.34843272335643,7.02531838248693,0.751870913954993,4.68687555292168,3.93500463896669,0.242151291293461,0.062244,19.9,691.4,1,23.3464,3.2448334748302e-07,23.3463996755167,11.8281335978367,0.925138334576172,10.9426598178471,"Madrid, Spain"
"56",-3.70343,40.47786,2015,7,9,190,"2015-07-09",22.21,29.01,0,39.53,18.21,30.03,30.62,93.64,2.74,4.23,-209.397599581124,4.00799303680325,2.09140027936042,7.19285158063896,0.826520870761812,4.64212592999969,3.81560505923788,0.231592218612047,0.0622706,19.01,710.41,1,23.1231,3.15009334187506e-07,23.1230996849907,11.7228478929398,0.955624925009954,11.2026456385937,"Madrid, Spain"
"57",-3.70343,40.47786,2015,7,10,191,"2015-07-10",15.82,28.88,0,37.27,20.62,31.07,31.07,93.69,2.81,0.2,-256.502813294546,3.97798300223923,2.42954417002515,6.36768387369415,0.619747868264412,4.39861402185965,3.77886615359524,0.230082737373012,0.06230385,18.88,729.29,1,23.9239,3.40364260303532e-07,23.9238996596357,11.9865518435097,0.983941801642454,11.7940694163836,"Madrid, Spain"
